Timestamp,instructions,cpu-cycles
     7.215748323,1039422857,979735705
     7.315915449,784459886,626271669
     7.416054009,418622554,169850548
     7.516189839,416796344,169848181
     7.616303543,277212985,127301582
     7.716446534,1854095,3287028
     7.816608725,36302,161689
     7.916785707,36580,213581
     8.017009138,36396,193373
     8.117295801,130688,582642
     8.217553263,36437,254750
     8.317764894,36647772,16892816
     8.417935700,487544406,326772109
     8.518084338,1272853194,1255854954
     8.618227875,413506195,169860510
     8.718344089,413358642,169816057
     8.818452772,415702920,169776858
     8.918584717,356987570,172582927
     9.018753651,1349288690,1170381684
     9.118903750,509079624,293478582
     9.219030708,386672290,169829352
     9.319186606,411986378,172694276
     9.419361807,711927271,595842565
     9.519612801,1089579306,1014335733
     9.619757969,411393589,169863558
     9.719892956,419123700,169845074
     9.820041422,413576845,172679733
     9.920197005,678867065,544492840
    10.020356656,1132203372,1064391504
    10.120474239,418069555,169816959
    10.220614038,414629528,169851625
    10.320746426,395758668,166183815
    10.420897173,46648196,29547801
    10.521096241,36680,205533
    10.621303057,36419,157568
    10.721512666,36307,148898
    10.821692218,128149523,62942576
    10.921845399,744988447,630453891
    11.022051298,1063083022,979917485
    11.122196937,420866119,169864112
    11.222336673,411592290,169853636
    11.322495426,404794873,173950858
    11.422652810,676865843,533380762
    11.522813361,1139968959,1076294829
    11.622955294,413666247,169858535
    11.723094052,415509961,169850566
    11.823237153,404195860,173968357
    11.923391373,656145596,479843686
    12.023561014,1071818688,888023880
    12.123727387,411391313,169899120
    12.223878073,409578967,169872099
    12.324032385,389922928,173807789
    12.424190005,1026752003,832361248
    12.524396673,824616851,620349542
    12.624531985,413582466,169845682
    12.724668513,415236850,169848421
    12.824837044,105372657,60750679
    12.925032669,36415,218016
    13.025202560,36706,192414
    13.125386106,36332,162407
    13.225587115,36564,191662
    13.325846998,212571,866637
    13.426110106,36754,267526
    13.526295964,191202651,89614634
    13.626449620,891313580,793444291
    13.726676869,989201767,886320095
    13.826803934,413088753,169810275
    13.926938901,416100730,169845493
    14.027083789,405875900,173260342
    14.127238990,745364428,621766799
    14.227391687,1072155036,990756362
    14.327547070,399184377,169876867
    14.427671530,330651095,169827353
    14.527811171,332243891,169852908
    14.627964717,367308956,172997141
    14.728115290,1332208066,1321506279
    14.828319196,511653551,291440375
    14.928450867,413781203,169840632
    15.028585007,416590966,169840597
    15.128748029,381679874,172788526
    15.228898886,1294555573,1275107722
    15.329059436,543898468,339180114
    15.429200604,410034309,169855590
    15.529335006,415470132,169846155
    15.629462551,191362655,92941254
    15.729656786,36615,191746
    15.829848799,36340,175717
    15.930023119,36355,159994
    16.030240754,36341,200187
    16.130535182,238553,874496
    16.230744328,89780999,46514152
    16.330910980,642636164,506794438
    16.431116242,1162463568,1104866040
    16.531262738,415565582,169867274
    16.631403942,415607664,169854361
    16.731540730,417810262,172743837
    16.831711318,562381952,408375164
    16.932024633,1244527259,1206045834
    17.032167949,411900017,169858432
    17.132313296,413860013,169862106
    17.232456787,324520886,169860138
    17.332598689,356497795,174089649
    17.432750118,1328693056,1317402820
    17.532983577,505639951,282819483
    17.633126911,413019399,169857030
    17.733270651,415849313,169861544
    17.833415247,376894034,173875052
    17.933569268,1277340417,1255434827
    18.033748290,556326591,346588170
    18.133887404,420556542,169854373
    18.234018788,416180682,169839821
    18.334157497,186585910,92563839
    18.434359141,36538,224130
    18.534556048,39212,192812
    18.634802430,36440,203718
    18.734984464,36943,223052
    18.835212924,141787,486524
    18.935371359,134101633,67964017
    19.035532358,741925173,628870564
    19.135772891,1065835203,984252345
    19.235902880,412452358,169836954
    19.336042576,400260573,169852195
    19.436194044,414149559,172754347
    19.536354008,591078348,445512782
    19.636512338,1213572255,1168298284
    19.736647598,415245230,169846186
    19.836790370,415737161,169826071
    19.936932319,418628961,171882905
    20.037085549,594377286,458902488
    20.137241558,1169686338,1113784094
    20.237376351,414009530,169845590
    20.337512503,415538278,169846231
    20.437637028,400049478,171007747
    20.537793417,524963991,364736660
    20.637952639,1278508590,1249037346
    20.738092312,414833404,169852174
    20.838225635,413908854,169814219
    20.938374807,416039889,169867693
    21.038526989,92851076,53380705
    21.138714449,35810,229244
    21.238901828,56819,227730
    21.339110368,35988,146381
    21.439293379,212968,646993
    21.539471591,208465793,100373285
    21.639658928,960537608,885480445
    21.739815532,859530465,727312363
    21.839950277,413211175,169814155
    21.940090504,413150414,169851819
    22.040245527,400377200,172950748
    22.140399576,870479366,769345816
    22.240560174,952582640,841013583
    22.340695667,417041270,169847410
    22.440831470,405818727,169845579
    22.540979090,407907720,172794767
    22.641134081,854442053,769128586
    22.741272293,883088148,760374312
    22.841421650,416566356,169850575
    22.941554164,416322124,169843871
    23.041699779,405228967,172837217
    23.141853069,812906774,716249570
    23.242062448,978863960,874976530
    23.342197064,412271098,169844567
    23.442330095,400053158,169843280
    23.542449659,357320565,152114251
    23.642613481,36722688,24072143
    23.742781700,36186,181638
    23.842935749,35982,191998
    23.943122701,133538,471683
    24.043414522,221104,815677
    24.143794298,35837,252657
    24.244036304,63675,385865
    24.344356024,35369,240315
    24.444626709,35046,239017
    24.544879653,35575,240855
    24.645202836,35189,240109
    24.745525413,35452,252824
    24.845851765,35075,239435
    24.946160546,35310,243916
    25.046451934,35406,241560
    25.146694953,76279,327451
    25.246867596,35458,175745
    25.347060594,35275,176217
    25.447256963,35337,237082
    25.547554335,35238,282838
    25.647818850,35322,273376
    25.748100748,35476,251567
    25.848384514,60809,330409
    25.948663352,35263,254422
    26.048957212,35498,241583
